id,doc_id,question
c1ab9aab-095c-4be8-929b-e8a0665cfa5a,676aa082-8203-4e0a-96c5-0c61527e2650,"As a recruitment agency, we are required to provide a decent equipped temporary accommodation for domestic workers. What are the specific rules and regulations pertaining to labor accommodations in the UAE that we should follow?"
d09a91b7-a19f-4795-8edb-4d8588905298,676aa082-8203-4e0a-96c5-0c61527e2650,"If an employer fails to provide the domestic worker within the agreed upon time period, they are entitled to terminate the contract and claim reimbursement of recruitment and government costs. What is the maximum allowable time period for providing the domestic worker?"
e05158ab-1d4d-4973-bf82-0ab29ffb5185,676aa082-8203-4e0a-96c5-0c61527e2650,"In the event that the agency fails to provide the employer with the domestic worker's expected arrival date, taking into consideration that the recruitment process includes training and medical examinations, what are the consequences for the agency?"
6a2c459f-f741-479e-909f-6fb464a6cf47,676aa082-8203-4e0a-96c5-0c61527e2650,"If an employer terminates the contract with a domestic worker during the probation period, who will be liable for fines imposed on the worker's file due to noncompliance?"
b349383a-3c01-41fe-b36a-28b8e7edd0e7,676aa082-8203-4e0a-96c5-0c61527e2650,"In the case of a domestic worker's return to the agency for any reason, what temporary accommodation requirements should the agency provide according to the document?"
1c44fcab-6067-42a1-9513-883ee98d9af6,676aa082-8203-4e0a-96c5-0c61527e2650,"As a recruitment agency, what are our obligations towards domestic workers regarding providing temporary accommodation before they move to their workplace?"
843f9e95-d3d2-438e-801f-aaadb7bdff0d,676aa082-8203-4e0a-96c5-0c61527e2650,"In case a domestic worker's rights or freedom are violated, what channels should we direct them to as a recruitment agency to ensure their protection?"
dbb3c039-97e4-4819-ad38-e29580247ca3,676aa082-8203-4e0a-96c5-0c61527e2650,"If an employer requests a replacement for a domestic worker who has ceased to work, what are our responsibilities as a recruitment agency in terms of cost and providing a suitable replacement?"
82be7c6e-fa76-49b2-b6ae-045a44184d39,676aa082-8203-4e0a-96c5-0c61527e2650,"When entering into a contract with an employer, what is the standard contract mandated by the Ministry that we should adhere to for the recruitment of domestic workers?"
3283b38c-2b1b-4d9b-8ba0-77a734b84589,676aa082-8203-4e0a-96c5-0c61527e2650,"If a domestic worker's file has fines imposed on it due to noncompliance, who becomes liable for these fines once the domestic worker's file is transferred to the employer's file?"
17547899-c64e-4c6d-a22e-10594fd89b8c,676aa082-8203-4e0a-96c5-0c61527e2650,I am a domestic worker in the UAE and my employer has not provided me with a decent equipped temporary accommodation as per the regulations. What should I do?
bc3de400-3d69-480d-bbfe-cdabcbbc306b,676aa082-8203-4e0a-96c5-0c61527e2650,"My employer wants to terminate my contract without giving me the agreed probation period. As a domestic worker, what are my rights in this situation?"
629a6407-df9d-4a14-a51a-4cb39d1bd0b2,676aa082-8203-4e0a-96c5-0c61527e2650,I have been asked to sign an undertaking form that includes fines incurred by employers. Can you explain what this means and what my responsibilities are?
